,Date,Open,High,Low,Close,Adj Close,Volume,date,long_MA,short_MA,crosszero,accumulation,position,buy,sell
0,2022-10-03,543.0,556.0,541.0,548.0,548.0,3207800,2022-10-03,,,0.0,0,,,
1,2022-10-04,564.0,573.0,564.0,573.0,573.0,4417460,2022-10-04,,,0.0,0,0.0,,
2,2022-10-05,596.0,608.0,592.0,599.0,599.0,9523847,2022-10-05,,,0.0,0,0.0,,
3,2022-10-06,603.0,604.0,585.0,587.0,587.0,6813772,2022-10-06,,,0.0,0,0.0,,
4,2022-10-07,581.0,582.0,564.0,566.0,566.0,5990213,2022-10-07,574.6,,0.0,0,0.0,,
5,2022-10-11,546.0,565.0,541.0,553.0,553.0,8035781,2022-10-11,575.6,,0.0,0,0.0,,
6,2022-10-12,557.0,557.0,541.0,549.0,549.0,6779101,2022-10-12,570.8,,0.0,0,0.0,,
7,2022-10-13,550.0,554.0,538.0,544.0,544.0,6734775,2022-10-13,559.8,,0.0,0,0.0,,
8,2022-10-14,562.0,588.0,559.0,585.0,585.0,9168365,2022-10-14,559.4,,0.0,0,0.0,,
9,2022-10-17,568.0,580.0,565.0,578.0,578.0,6538416,2022-10-17,561.8,568.2,0.0,0,0.0,,
10,2022-10-18,593.0,595.0,576.0,588.0,588.0,6492274,2022-10-18,568.8,572.2,0.0,0,0.0,,
11,2022-10-19,585.0,591.0,577.0,577.0,577.0,5843559,2022-10-19,574.4,572.6,1.0,0,0.0,,
12,2022-10-20,566.0,570.0,558.0,570.0,570.0,8517491,2022-10-20,579.6,569.7,1.0,0,0.0,,
13,2022-10-21,567.0,579.0,565.0,567.0,567.0,4956286,2022-10-21,576.0,567.7,1.0,1,1.0,567.0,
14,2022-10-24,587.0,596.0,585.0,588.0,588.0,5684321,2022-10-24,578.0,569.9,1.0,1,0.0,,
15,2022-10-25,591.0,592.0,563.0,563.0,563.0,6381937,2022-10-25,573.0,570.9,1.0,1,0.0,,
16,2022-10-26,569.0,582.0,565.0,579.0,579.0,6518295,2022-10-26,573.4,573.9,0.0,0,-1.0,,579.0
17,2022-10-27,589.0,592.0,583.0,589.0,589.0,6051076,2022-10-27,577.2,578.4,0.0,0,0.0,,
18,2022-10-28,582.0,585.0,564.0,565.0,565.0,6036461,2022-10-28,576.8,576.4,1.0,0,0.0,,
19,2022-10-31,585.0,604.0,576.0,590.0,590.0,16334090,2022-10-31,577.2,577.6,0.0,0,0.0,,
