,Date,Open,High,Low,Close,Adj Close,Volume,date,long_MA,short_MA,crosszero,accumulation,position,buy,sell
0,2022-10-03,36.36000061035156,36.599998474121094,36.2599983215332,36.40999984741211,36.40999984741211,2445493,2022-10-03,,,0.0,0,,,
1,2022-10-04,36.70000076293945,37.040000915527344,36.70000076293945,37.0099983215332,37.0099983215332,2409597,2022-10-04,,,0.0,0,0.0,,
2,2022-10-05,37.20000076293945,37.33000183105469,37.18000030517578,37.2599983215332,37.2599983215332,2464664,2022-10-05,,,0.0,0,0.0,,
3,2022-10-06,37.310001373291016,37.34000015258789,37.13999938964844,37.189998626708984,37.189998626708984,2585139,2022-10-06,,,0.0,0,0.0,,
4,2022-10-07,37.09000015258789,37.09000015258789,36.84000015258789,36.86000061035156,36.86000061035156,2328381,2022-10-07,36.94599914550781,,0.0,0,0.0,,
5,2022-10-11,36.29999923706055,36.29999923706055,36.06999969482422,36.099998474121094,36.099998474121094,3486307,2022-10-11,36.88399887084961,,0.0,0,0.0,,
6,2022-10-12,36.060001373291016,36.20000076293945,35.79999923706055,36.099998474121094,36.099998474121094,2192606,2022-10-12,36.70199890136719,,0.0,0,0.0,,
7,2022-10-13,36.08000183105469,36.099998474121094,35.47999954223633,35.52000045776367,35.52000045776367,2647404,2022-10-13,36.353999328613284,,0.0,0,0.0,,
8,2022-10-14,35.9900016784668,36.209999084472656,35.900001525878906,35.97999954223633,35.97999954223633,1726701,2022-10-14,36.11199951171875,,0.0,0,0.0,,
9,2022-10-17,35.869998931884766,35.90999984741211,35.470001220703125,35.90999984741211,35.90999984741211,1882065,2022-10-17,35.92199935913086,36.43399925231934,0.0,0,0.0,,
10,2022-10-18,36.290000915527344,36.33000183105469,35.75,36.0,36.0,1775654,2022-10-18,35.90199966430664,36.392999267578126,0.0,0,0.0,,
11,2022-10-19,35.959999084472656,36.290000915527344,35.95000076293945,36.029998779296875,36.029998779296875,1931877,2022-10-19,35.8879997253418,36.294999313354495,0.0,0,0.0,,
12,2022-10-20,35.630001068115234,35.86000061035156,35.40999984741211,35.81999969482422,35.81999969482422,2092400,2022-10-20,35.94799957275391,36.15099945068359,0.0,0,0.0,,
13,2022-10-21,35.900001525878906,36.0,35.7400016784668,35.7400016784668,35.7400016784668,1679995,2022-10-21,35.9,36.00599975585938,0.0,0,0.0,,
14,2022-10-24,36.22999954223633,36.22999954223633,35.900001525878906,35.95000076293945,35.95000076293945,1511762,2022-10-24,35.90800018310547,35.91499977111816,0.0,0,0.0,,
15,2022-10-25,36.0,36.13999938964844,35.630001068115234,35.790000915527344,35.790000915527344,2086119,2022-10-25,35.86600036621094,35.88400001525879,0.0,0,0.0,,
16,2022-10-26,35.81999969482422,36.029998779296875,35.70000076293945,35.91999816894531,35.91999816894531,1699141,2022-10-26,35.844000244140624,35.86599998474121,0.0,0,0.0,,
17,2022-10-27,36.0099983215332,36.29999923706055,36.0099983215332,36.16999816894531,36.16999816894531,1749451,2022-10-27,35.91399993896484,35.930999755859375,0.0,0,0.0,,
18,2022-10-28,36.099998474121094,36.15999984741211,35.900001525878906,35.939998626708984,35.939998626708984,1953193,2022-10-28,35.95399932861328,35.92699966430664,1.0,0,0.0,,
19,2022-10-31,36.189998626708984,36.34000015258789,36.060001373291016,36.25,36.25,1422929,2022-10-31,36.01399917602539,35.96099967956543,1.0,0,0.0,,
20,2022-11-01,36.189998626708984,36.5,36.18000030517578,36.439998626708984,36.439998626708984,975113,2022-11-01,36.14399871826172,36.00499954223633,1.0,1,1.0,36.44,
21,2022-11-02,36.45000076293945,36.52000045776367,36.31999969482422,36.52000045776367,36.52000045776367,1940900,2022-11-02,36.26399917602539,36.053999710083005,1.0,1,0.0,,
22,2022-11-03,36.20000076293945,36.5,36.150001525878906,36.5,36.5,1582739,2022-11-03,36.32999954223633,36.121999740600586,1.0,1,0.0,,
23,2022-11-04,36.36000061035156,36.52000045776367,36.189998626708984,36.52000045776367,36.52000045776367,1290336,2022-11-04,36.44599990844726,36.19999961853027,1.0,1,0.0,,
24,2022-11-07,36.75,36.93000030517578,36.59000015258789,36.900001525878906,36.900001525878906,1989023,2022-11-07,36.57600021362305,36.29499969482422,1.0,1,0.0,,
25,2022-11-08,37.09000015258789,37.13999938964844,37.04999923706055,37.09000015258789,37.09000015258789,1783292,2022-11-08,36.70600051879883,36.42499961853027,1.0,1,0.0,,
26,2022-11-09,37.2400016784668,37.43000030517578,37.220001220703125,37.400001525878906,37.400001525878906,1431963,2022-11-09,36.88200073242187,36.57299995422363,1.0,1,0.0,,
27,2022-11-10,37.290000915527344,37.400001525878906,37.18000030517578,37.20000076293945,37.20000076293945,1662073,2022-11-10,37.02200088500977,36.67600021362305,1.0,1,0.0,,
28,2022-11-11,38.0,38.0,37.61000061035156,37.86000061035156,37.86000061035156,2456824,2022-11-11,37.290000915527344,36.8680004119873,1.0,1,0.0,,
29,2022-11-14,37.900001525878906,38.15999984741211,37.900001525878906,38.099998474121094,38.099998474121094,2153213,2022-11-14,37.53000030517578,37.05300025939941,1.0,1,0.0,,
30,2022-11-15,38.099998474121094,38.25,37.86000061035156,38.220001220703125,38.220001220703125,1873400,2022-11-15,37.75600051879883,37.23100051879883,1.0,1,0.0,,
31,2022-11-16,38.22999954223633,38.25,38.0,38.209999084472656,38.209999084472656,2341872,2022-11-16,37.918000030517575,37.400000381469724,1.0,1,0.0,,
32,2022-11-17,38.16999816894531,38.29999923706055,38.0,38.2400016784668,38.2400016784668,2336005,2022-11-17,38.126000213623044,37.57400054931641,1.0,1,0.0,,
33,2022-11-18,38.310001373291016,38.459999084472656,38.150001525878906,38.2400016784668,38.2400016784668,1731219,2022-11-18,38.20200042724609,37.74600067138672,1.0,1,0.0,,
34,2022-11-21,38.2599983215332,38.29999923706055,38.15999984741211,38.22999954223633,38.22999954223633,2455171,2022-11-21,38.22800064086914,37.87900047302246,1.0,1,0.0,,
35,2022-11-22,38.279998779296875,38.279998779296875,38.04999923706055,38.18000030517578,38.18000030517578,1926255,2022-11-22,38.220000457763675,37.98800048828125,1.0,1,0.0,,
36,2022-11-23,38.29999923706055,38.4900016784668,38.290000915527344,38.47999954223633,38.47999954223633,1529852,2022-11-23,38.274000549316405,38.096000289916994,1.0,1,0.0,,
37,2022-11-24,38.54999923706055,38.86000061035156,38.54999923706055,38.86000061035156,38.86000061035156,2599765,2022-11-24,38.39800033569336,38.262000274658206,1.0,1,0.0,,
38,2022-11-25,38.86000061035156,38.88999938964844,38.65999984741211,38.72999954223633,38.72999954223633,2165308,2022-11-25,38.49599990844727,38.34900016784668,1.0,1,0.0,,
39,2022-11-28,38.400001525878906,38.72999954223633,38.290000915527344,38.68000030517578,38.68000030517578,2077904,2022-11-28,38.58600006103516,38.407000350952146,1.0,1,0.0,,
40,2022-11-29,38.66999816894531,38.849998474121094,38.4900016784668,38.849998474121094,38.849998474121094,2019786,2022-11-29,38.71999969482422,38.47000007629394,1.0,1,0.0,,
41,2022-11-30,38.84000015258789,39.18000030517578,38.68000030517578,39.18000030517578,39.18000030517578,1844274,2022-11-30,38.85999984741211,38.567000198364255,1.0,1,0.0,,
42,2022-12-01,39.400001525878906,39.540000915527344,39.189998626708984,39.380001068115234,39.380001068115234,2364780,2022-12-01,38.96399993896485,38.6810001373291,1.0,1,0.0,,
43,2022-12-02,39.400001525878906,39.439998626708984,39.33000183105469,39.38999938964844,39.38999938964844,5268685,2022-12-02,39.09599990844727,38.795999908447264,1.0,1,0.0,,
44,2022-12-05,39.4900016784668,39.619998931884766,39.40999984741211,39.47999954223633,39.47999954223633,7194039,2022-12-05,39.25599975585938,38.920999908447264,1.0,1,0.0,,
45,2022-12-06,39.47999954223633,39.47999954223633,39.0099983215332,39.02000045776367,39.02000045776367,6288617,2022-12-06,39.29000015258789,39.00499992370605,1.0,1,0.0,,
46,2022-12-07,39.029998779296875,39.130001068115234,38.7599983215332,38.880001068115234,38.880001068115234,6021618,2022-12-07,39.23000030517578,39.045000076293945,1.0,1,0.0,,
47,2022-12-08,38.81999969482422,38.880001068115234,38.5,38.68000030517578,38.68000030517578,5875585,2022-12-08,39.09000015258789,39.02700004577637,1.0,1,0.0,,
48,2022-12-09,38.900001525878906,38.939998626708984,38.7599983215332,38.86000061035156,38.86000061035156,4745919,2022-12-09,38.98400039672852,39.04000015258789,0.0,0,-1.0,,38.86
49,2022-12-12,38.869998931884766,38.869998931884766,38.5,38.81999969482422,38.81999969482422,8994443,2022-12-12,38.8520004272461,39.05400009155274,0.0,0,0.0,,
50,2022-12-13,39.040000915527344,39.040000915527344,38.61000061035156,38.68000030517578,38.68000030517578,11319002,2022-12-13,38.784000396728516,39.037000274658205,0.0,0,0.0,,
51,2022-12-14,38.970001220703125,39.130001068115234,38.849998474121094,39.029998779296875,39.029998779296875,7322474,2022-12-14,38.81399993896484,39.02200012207031,0.0,0,0.0,,
52,2022-12-15,39.029998779296875,39.11000061035156,38.900001525878906,39.040000915527344,39.040000915527344,14125244,2022-12-15,38.886000061035155,38.988000106811526,0.0,0,0.0,,
53,2022-12-16,37.56999969482422,37.58000183105469,37.060001373291016,37.25,37.25,18397003,2022-12-16,38.56399993896484,38.77400016784668,0.0,0,0.0,,
54,2022-12-19,37.20000076293945,37.279998779296875,36.970001220703125,37.18000030517578,37.18000030517578,6550847,2022-12-19,38.236000061035156,38.544000244140626,0.0,0,0.0,,
55,2022-12-20,37.189998626708984,37.20000076293945,36.689998626708984,36.7599983215332,36.7599983215332,11317579,2022-12-20,37.85199966430664,38.31800003051758,0.0,0,0.0,,
56,2022-12-21,36.790000915527344,36.79999923706055,36.630001068115234,36.65999984741211,36.65999984741211,5585299,2022-12-21,37.37799987792969,38.09599990844727,0.0,0,0.0,,
57,2022-12-22,36.9900016784668,37.13999938964844,36.83000183105469,37.099998474121094,37.099998474121094,2655229,2022-12-22,36.98999938964844,37.9379997253418,0.0,0,0.0,,
58,2022-12-23,36.83000183105469,37.099998474121094,36.65999984741211,37.099998474121094,37.099998474121094,3105280,2022-12-23,36.959999084472656,37.76199951171875,0.0,0,0.0,,
59,2022-12-26,37.099998474121094,37.150001525878906,37.02000045776367,37.150001525878906,37.150001525878906,4641451,2022-12-26,36.95399932861328,37.59499969482422,0.0,0,0.0,,
60,2022-12-27,37.18000030517578,37.2400016784668,37.040000915527344,37.130001068115234,37.130001068115234,3394387,2022-12-27,37.02799987792969,37.43999977111817,0.0,0,0.0,,
61,2022-12-28,36.9900016784668,36.9900016784668,36.779998779296875,36.880001068115234,36.880001068115234,5258301,2022-12-28,37.072000122070314,37.225,0.0,0,0.0,,
