,Date,Open,High,Low,Close,Adj Close,Volume,date,long_MA,short_MA,crosszero,accumulation,position,buy,sell
0,2022-07-01,364.0,364.5,346.0,347.0,318.737548828125,2304181,2022-07-01,347.0,,0.0,0,,,
1,2022-07-04,347.0,358.0,337.0,339.5,311.8484191894531,4053146,2022-07-04,339.5,,0.0,0,0.0,,
2,2022-07-05,343.5,345.5,314.5,324.0,297.6108703613281,5904336,2022-07-05,324.0,,0.0,0,0.0,,
3,2022-07-06,324.0,325.0,311.5,313.0,287.50677490234375,5400944,2022-07-06,313.0,,0.0,0,0.0,,
4,2022-07-07,319.5,332.0,317.0,328.0,301.2850646972656,4949715,2022-07-07,328.0,330.3,0.0,0,0.0,,
5,2022-07-08,334.0,344.0,327.0,335.0,307.7149353027344,4573339,2022-07-08,335.0,327.9,1.0,0,0.0,,
6,2022-07-11,338.0,339.5,327.0,330.5,303.5814514160156,2058640,2022-07-11,330.5,326.1,1.0,0,0.0,,
7,2022-07-12,317.5,318.0,303.5,313.5,287.966064453125,5546868,2022-07-12,313.5,324.0,0.0,0,0.0,,
8,2022-07-13,324.5,324.5,313.5,313.5,287.966064453125,2968137,2022-07-13,313.5,324.1,0.0,0,0.0,,
9,2022-07-14,310.0,321.5,308.5,320.0,293.9366455078125,2521340,2022-07-14,320.0,322.5,0.0,0,0.0,,
10,2022-07-15,324.0,339.5,316.5,332.5,305.4185485839844,4714554,2022-07-15,332.5,322.0,1.0,0,0.0,,
11,2022-07-18,335.5,346.0,334.5,346.0,317.8190002441406,4219427,2022-07-18,346.0,325.1,1.0,0,0.0,,
12,2022-07-19,341.0,343.5,338.5,339.0,311.3891296386719,3037680,2022-07-19,339.0,330.2,1.0,1,1.0,339.0,
13,2022-07-20,350.0,362.0,348.5,354.0,325.16741943359375,5526386,2022-07-20,354.0,338.3,1.0,1,0.0,,
14,2022-07-21,356.5,371.5,355.5,371.5,341.2420959472656,4198711,2022-07-21,371.5,348.6,1.0,1,0.0,,
15,2022-07-22,372.5,374.0,366.0,369.0,338.9457092285156,3594303,2022-07-22,369.0,355.9,1.0,1,0.0,,
16,2022-07-25,370.5,372.5,361.5,362.0,332.5158386230469,2919561,2022-07-25,362.0,359.1,1.0,1,0.0,,
17,2022-07-26,359.0,359.0,346.0,352.5,323.7895812988281,3253551,2022-07-26,352.5,361.8,0.0,0,-1.0,,352.5
18,2022-07-27,351.5,355.5,342.0,355.5,326.5452575683594,2578873,2022-07-27,355.5,362.1,0.0,0,0.0,,
19,2022-07-28,359.0,361.0,351.0,354.0,325.16741943359375,3398292,2022-07-28,354.0,358.6,0.0,0,0.0,,
20,2022-07-29,343.0,353.5,341.5,342.0,314.1448059082031,6148185,2022-07-29,342.0,353.2,0.0,0,0.0,,
21,2022-08-01,338.5,350.0,329.5,347.0,318.737548828125,4245660,2022-08-01,347.0,350.2,0.0,0,0.0,,
22,2022-08-02,344.0,344.0,333.0,339.0,311.3891296386719,3536049,2022-08-02,339.0,347.5,0.0,0,0.0,,
23,2022-08-03,332.5,344.0,332.0,343.0,315.0633544921875,3501140,2022-08-03,343.0,345.0,0.0,0,0.0,,
24,2022-08-04,340.5,345.5,336.0,344.0,315.9819030761719,2060970,2022-08-04,344.0,343.0,1.0,0,0.0,,
