,Date,Open,High,Low,Close,Adj Close,Volume,date,long_MA,short_MA,crosszero,accumulation,position,buy,sell
0,2022-07-01,311.0,315.0,308.0,309.5,268.75079345703125,3932231,2022-07-01,309.5,,0.0,0,,,
1,2022-07-04,310.0,312.5,300.0,301.5,261.8040771484375,3850317,2022-07-04,301.5,,0.0,0,0.0,,
2,2022-07-05,307.0,309.0,301.5,304.5,264.4090881347656,2407180,2022-07-05,304.5,,0.0,0,0.0,,
3,2022-07-06,307.0,307.5,298.0,298.0,258.764892578125,2823430,2022-07-06,298.0,,0.0,0,0.0,,
4,2022-07-07,300.0,305.5,296.0,302.5,262.67242431640625,3103330,2022-07-07,302.5,303.2,0.0,0,0.0,,
5,2022-07-08,303.5,308.0,303.5,305.0,264.84326171875,2121170,2022-07-08,305.0,302.3,1.0,0,0.0,,
6,2022-07-11,310.0,311.0,308.0,309.5,268.75079345703125,1908870,2022-07-11,309.5,303.9,1.0,0,0.0,,
7,2022-07-12,307.5,308.0,302.0,306.5,266.1457824707031,2826185,2022-07-12,306.5,304.3,1.0,1,1.0,306.5,
8,2022-07-13,313.5,317.5,311.0,313.0,271.78997802734375,3031893,2022-07-13,313.0,307.3,1.0,1,0.0,,
9,2022-07-14,312.0,313.5,309.5,312.5,271.3558044433594,1854228,2022-07-14,312.5,309.3,1.0,1,0.0,,
10,2022-07-15,314.0,314.5,310.0,310.0,269.1849670410156,1473613,2022-07-15,310.0,310.3,0.0,0,-1.0,,310.0
11,2022-07-18,310.5,311.5,303.5,308.5,267.8824462890625,4138145,2022-07-18,308.5,310.1,0.0,0,0.0,,
12,2022-07-19,309.0,314.0,308.0,312.0,270.921630859375,3183896,2022-07-19,312.0,311.2,1.0,0,0.0,,
13,2022-07-20,315.0,318.5,314.5,316.0,274.3949890136719,2598454,2022-07-20,316.0,311.8,1.0,0,0.0,,
14,2022-07-21,316.0,323.0,316.0,322.0,279.6050109863281,3565072,2022-07-21,322.0,313.7,1.0,1,1.0,322.0,
15,2022-07-22,323.5,327.0,318.0,326.0,283.078369140625,3646961,2022-07-22,326.0,316.9,1.0,1,0.0,,
16,2022-07-25,323.0,326.5,320.5,326.0,283.078369140625,3035281,2022-07-25,326.0,320.4,1.0,1,0.0,,
17,2022-07-26,325.5,325.5,321.0,323.0,280.4733581542969,3406195,2022-07-26,323.0,322.6,1.0,1,0.0,,
18,2022-07-27,323.5,324.5,319.5,322.5,280.0391845703125,4785974,2022-07-27,322.5,323.9,0.0,0,-1.0,,322.5
19,2022-07-28,324.0,325.0,319.0,319.0,277.0,6363615,2022-07-28,319.0,323.3,0.0,0,0.0,,
20,2022-07-29,277.0,284.0,277.0,281.5,281.5,7292201,2022-07-29,281.5,314.4,0.0,0,0.0,,
21,2022-08-01,281.0,283.0,278.0,282.5,282.5,3117094,2022-08-01,282.5,305.7,0.0,0,0.0,,
22,2022-08-02,280.0,280.5,275.5,277.5,277.5,5008910,2022-08-02,277.5,296.6,0.0,0,0.0,,
23,2022-08-03,278.0,281.0,277.0,281.0,281.0,2159257,2022-08-03,281.0,288.3,0.0,0,0.0,,
24,2022-08-04,281.0,282.5,279.0,281.0,281.0,1644920,2022-08-04,281.0,280.7,1.0,0,0.0,,
25,2022-08-05,283.0,283.0,279.5,282.0,282.0,2076569,2022-08-05,282.0,280.8,1.0,0,0.0,,
26,2022-08-08,282.0,284.0,280.5,283.5,283.5,1869111,2022-08-08,283.5,281.0,1.0,1,1.0,283.5,
27,2022-08-09,283.5,283.5,280.0,281.0,281.0,2382884,2022-08-09,281.0,281.7,0.0,0,-1.0,,281.0
28,2022-08-10,278.5,279.0,277.0,277.0,277.0,2692261,2022-08-10,277.0,280.9,0.0,0,0.0,,
29,2022-08-11,281.5,282.5,279.5,282.0,282.0,2393896,2022-08-11,282.0,281.1,1.0,0,0.0,,
30,2022-08-12,261.0,264.5,257.5,262.0,262.0,10657136,2022-08-12,262.0,277.1,0.0,0,0.0,,
31,2022-08-15,260.5,261.0,252.0,252.5,252.5,8122821,2022-08-15,252.5,270.9,0.0,0,0.0,,
32,2022-08-16,250.5,255.5,248.0,254.5,254.5,6444743,2022-08-16,254.5,265.6,0.0,0,0.0,,
33,2022-08-17,256.5,258.0,254.0,258.0,258.0,5315491,2022-08-17,258.0,261.8,0.0,0,0.0,,
